day,dns_qdomainname,shieldid
2022-11-03,movementdespise.com,6
2022-10-05,mybbwapp.io,4
2022-10-18,myfloridalegal.com,5
2023-01-13,myspacecenterexperience.com,4
2022-10-04,ncesc.com,4
2022-11-17,newspress.com,4
2022-10-05,newyou.com,4
2023-01-12,nextofwindows.com,4
2022-10-05,nextplus.me,4
2022-11-09,nhpr.org,6
2022-11-01,nitrogendetestable.com,5
2022-11-02,noirlab.edu,4
2023-01-17,nuageexperts.com,4
2023-01-18,nuageexperts.com,4
2023-01-19,nuageexperts.com,4
2022-10-04,nuclearweaponarchive.org,4
2022-10-04,nxnotes.com,4
2022-10-04,oards.com,4
2022-10-18,obsessivepetsbean.com,4
2022-10-05,oc-media.org,4
2022-10-04,offroadalliance.com,4
2022-11-15,ohiodems.org,4
2022-10-05,omnifytv.live,4
2022-11-10,oneedm.com,4
2022-11-01,onesothebysrealty.com,4
2022-11-02,onesothebysrealty.com,4
2022-10-04,oneyoungworld.com,5
2022-12-12,onlykey.io,4
2022-10-06,onthejlo.com,4
2023-01-11,ontic.co,4
2022-11-04,openrtb.in,4
2022-10-06,oregoncapitalchronicle.com,4
2022-11-01,organsshinegarlic.com,4
2022-11-02,ortostrikehem.xyz,5
2022-10-07,orugnvi.com,4
2022-11-03,ourgoldpiece.xyz,4
2023-01-18,ouryahoo.com,4
2022-10-24,pacificlegal.org,5
2022-10-05,pahomepage.com,5
2022-10-04,paintedfurnitureideas.com,4
2022-11-08,palmerluckey.com,5
2023-01-18,pappasitos.com,4
2022-10-12,paramountpressexpress.com,7
2022-12-08,payatu.com,4
2022-10-03,pcsoweb.com,7
2022-10-25,pcsoweb.com,4
2022-10-24,pdffillers.com,4
2022-10-25,pdffillers.com,4
2022-10-03,phosphatepossible.com,4
2022-10-06,pipscharity.com,4
2022-10-04,plantbasednews.org,4
2022-11-04,portland.gov,5
2022-11-04,pptproductivity.com,4
2023-01-18,praxis.com,4
2023-01-16,praxisdatasecurity.com,4
2022-10-05,precedentadministrator.com,4
2022-10-04,preezie.com,4
2022-10-04,prehomemart.com,5
2022-11-04,princes-trust.org.uk,4
2022-10-04,projectswithkids.com,4
2023-01-19,prowrestling.net,4
2022-10-04,psoriasis.org,5
2022-10-05,purdueexponent.org,4
2022-10-03,pursuitnauseousinvalid.com,4
2023-01-10,pwsweather.com,4
2023-01-13,pwsweather.com,4
2023-01-17,pwyp.org,4
2022-11-01,quarrelconfidentmane.com,4
2022-11-02,quarrelconfidentmane.com,4
2022-11-03,qucireideauxdw.xyz,5
2022-10-04,quickconnect.cn,4
2022-10-21,racareewituhi.xyz,4
2023-01-13,rainwise.net,4
2022-10-01,rdcrss.org,4
2022-11-09,realclearwire.com,6
2022-10-04,realitytvrevisited.com,4
2022-10-24,recordnet.com,4
2022-10-26,recordnet.com,4
2022-10-27,relieve-pain-fast.com,4
2022-10-31,relieve-pain-fast.com,4
2023-01-18,renaissanceplasticsurgerytx.com,4
2022-10-04,rentreporters.com,4
2022-10-03,residencestyle.com,4
2022-12-22,reypelis.tv,4
2022-12-08,richmondballet.com,4
2022-10-04,righttorescue.com,4
2022-11-10,risentimaddress.com,4
2023-01-16,riveron.com,4
2023-01-19,rohwrestling.com,4
2022-11-01,roi-nj.com,4
2022-10-05,rooseveltinstitute.org,4
2022-10-12,rxmuscle.com,5
2023-01-20,ryman.com,5
2022-10-03,saludybeneficios.com,4
2022-10-11,sarahperryauthor.net,4
2022-10-12,sarahperryauthor.net,4
2022-10-04,sasquatch.cloud,4
2022-10-17,savesmarterdaily.com,4
2022-10-18,savesmarterdaily.com,6
2022-10-19,savesmarterdaily.com,4
2022-10-03,sbsun.com,6
2022-11-02,schulzmuseum.org,4
2022-11-01,sensualsmiles.com,6
2022-10-12,sforce.co,4
2022-11-01,shareicon.net,4
2022-10-03,sharonherald.com,5
2023-01-23,sheisthemusic.org,4
2022-12-12,shopapps.in,4
2022-10-03,shoplium-shop.com,6
2022-11-01,shortdementedfruitful.com,5
2023-01-17,shotshow.org,6
2022-10-04,sibylsurveys.com,5
2022-11-29,simplekb.com,4
2023-01-12,skoutsecure.com,4
2022-11-04,skywalkingthroughneverland.com,4
2022-10-28,slieemem.xyz,4
2022-10-04,smartframe.net,4
2023-01-24,so1cool.com,5
2022-10-03,soletreadmills.com,4
2022-10-04,soletreadmills.com,4
2022-11-09,soreyfitness.com,4
2023-01-16,spaceotechnologies.com,4
2022-10-06,spellingunacceptable.com,4
2022-11-02,sportenote.com,5
2022-10-04,sportmonks.com,5
2022-10-24,springfieldnewssun.com,5
2022-11-01,squarefootagearea.com,4
2022-10-03,srmails.com,6
2022-11-29,startsat60.com,4
2022-10-12,stats.govt.nz,4
2022-10-03,statsforads.com,4
2022-10-04,steamlargelyjustified.com,4
2022-10-04,steerws.com,4
2022-10-17,stevenlamorte.com,4
2022-11-02,storyandrain.com,5
2023-01-17,stvincenttimes.com,4
2022-10-04,summitsothebysrealty.com,4
2022-10-05,taftclothing.com,4
2022-10-04,tapque.com,4
2022-11-07,tattooseo.com,4
2022-10-04,technetics.com,4
2022-10-25,techshift.net,4
2023-01-17,teliacarrier.com,4
2023-01-20,telnyx.com,6
2022-10-03,testing.com,4
2022-10-06,thecatholictraveler.com,9
2023-01-13,thefillmorepub.com,4
2023-01-13,thelexlg.com,4
2023-01-10,themeltdown.com,4
2023-01-13,themeltdown.com,4
2022-10-04,theoreticalmachinist.com,4
2022-10-04,thepapermillstore.com,4
2022-10-04,theshabbytree.com,4
2022-11-07,theskinnyconfidential.com,4
2022-11-07,thethreetomatoes.com,4
2022-11-03,thetownhall.org,4
2023-01-20,theunbreakablechallenge.com,4
2022-11-08,thomasmoresociety.org,4
2023-01-11,tiddlywiki.com,4
2023-01-16,timlivingstonpr.com,4
2022-11-04,tortmuseum.org,4
2022-12-14,townofwayneok.org,4
2022-10-04,travelnevada.com,4
2022-12-07,tsplus.me,4
2022-12-05,tsplus.net,5
2023-01-13,tsplus.net,4
2022-11-01,ttmmessages.com,4
2022-10-06,turismofvg.it,8
2022-10-04,tvacute.com,4
2022-11-14,txrrhistory.com,4
2022-10-04,ubidex.xyz,4
2022-10-03,ufcstore.com,4
2022-10-04,ufun-gamer.com,4
2022-10-03,unifolks.com,4
2022-10-25,unilever.ca,4
2022-10-25,unileverrecall.com,4
2022-10-25,unileverusa.com,4
2022-11-10,upnorthlive.com,4
2022-11-07,upstateramblings.com,4
2022-12-21,us-public-holidays.com,4
2023-01-10,usbizsell.com,4
2023-01-12,ushcgshots.com,4
2023-01-13,ushcgshots.com,4
2022-10-03,utires.com,4
2022-11-14,valentebrothers.com,4
2023-01-20,vanguardlawmag.com,4
2022-10-03,vgchartz.com,4
2022-10-24,viijaly.com,4
2022-10-03,viralblogs4you.com,4
2022-10-04,viraln.link,4
2022-10-13,volpicellicenter.com,4
2022-11-08,vpap.org,4
2022-10-03,vyeptihcp.com,4
2022-10-06,walzermelcher.com,4
2022-10-03,weakermumrespect.com,4
2023-01-09,weareindy.com,4
2023-01-10,weareindy.com,4
2023-01-23,wearemovingtheneedle.org,4
2023-01-19,webgap.io,5
2022-10-05,whatgreatgrandmaate.com,4
2022-10-03,wherever-i-look.com,4
2022-10-31,wildernesstraildistillery.com,5
2022-10-31,wildturkeybourbon.com,4
2022-10-03,winfunds.com,4
2022-11-07,winthropeagles.com,4
2022-11-10,wisedecor.com,4
2022-10-24,withholdsubsequently.com,4
2022-11-08,world-financial-times.com,4
2022-10-03,wvbfa.com,4
2022-10-04,wyzant.net,4
2022-10-05,xusdh.xyz,4
2022-10-28,yearlingpreferablyperiods.com,4
2022-10-03,yieldbetter.mobi,4
2022-10-24,yourhypejournal.com,4
2022-10-19,yourownbackyardpodcast.com,4
2022-10-03,zippyfrog.co,4
